id,composition,HV
162,HfMo0.25NbTaTiZr,395
163,HfNbTaTiZr,390
164,Al0.75CoCrFeNi,388
165,HfNbTiVZr,388
166,Al0.75CoFeNi,385
167,CoFeMoNi2V,382
168,AlCrCuFeNi1.4,367
169,HfNbTaZr,365
170,Al0.875CoCrFeNi,361
171,Al0.3HfNbTaTiZr,353
172,CoCrFeMnNiV0.75,342
173,AlCrCuFeNi,342
174,HfNbTaTiZr,335
175,NbTiVZr,335
176,Al0.5CoCrCuFeNiV0.6,328
177,Al0.5CoCrCuFeNiTi0.4,321
178,CoCuFeMnNiSn0.20,319
179,Cu3Mn3Ni3Sn1,318
180,NbTiV2Zr,304
181,Hf0.5Nb0.5Ta0.5Ti1.5Zr,301
182,Al0.5CoCrCuFeNi,300
183,Al0.3CrFe1.5MnNi0.5,297
184,CrCuFeMnNi,296
185,HfNbTaTiZr,295
186,CoFeNiSi0.5,287
187,CoCrCuFeNi,286
188,CoCrCuFeNi,286
189,Al0.75CoCrFeNi,280
190,Al0.56CoCrFeMnNi,278
191,Al0.5CoCrCuFeNiTi0.2,272
192,Al0.8CoCrCuFe,271
193,Al0.8CoCrCuFeNi,270
194,Al0.8CoCrCuFeNi,270
195,CoFeMo0.2NiV,267
196,CrCuFeMoNi,263
197,CoCuFeMnNiSn0.10,253
198,Cu3Mn3Ni3Al1,241
199,CoFeNiV,238
200,Al0.5CoCrCuFeNiV0.4,231
201,Al0.5CoCrCuFeNi,225
202,Al0.49CoCrFeMnNi,220
203,CoCuFeMnNiSn0.08,219
204,Al0.5CoCrCuFeNi,215
205,Al0.5CoFeNi,212
206,CoCrFeMo0.5Ni,210
207,Al0.5CoCrCuFeNi,210
208,Al0.5CoCrFeNi,209
209,CoCuFeMnNi,208
210,Al0.5CoCrCuFe,207
211,CoCuFeMnNiSn0.05,205
212,Cu9.5Mn9.5Ni9.5Sn1.5,205
213,Al0.5CoCrCuFeNiV0.2,204
214,Al0.375CoCrFeNi,196
215,CoCuFeMnNiSn0.03,192
216,CoCrFeMnNiV0.5,186
217,Al0.43CoCrFeMnNi,183
218,Al0.38CoCrFeMnNi,182
219,Al0.10CoCrFeMnNi,180
220,Al0.3CoCrCuFe,180
221,Al0.3CoCrCuFeNi,180
222,AlCoCrFeNiTi0.5,178
223,AlCoCrFeNiTi0.5,178
224,CoCrFeMnNi,176
225,CoCrCu0.5FeNi,172
226,Al0.20CoCrFeMnNi,171
227,Cu9.5Mn9.5Ni9.5Al1.5,166
228,Al0.5CoCrFeNi,159
229,CoCrFeMnNiV0.25,151
230,CoFeNiSi0.25,149
231,CuMnNiZn,147
232,CoCrFeMnNi,144
233,Al0.25CoFeNi,138
234,CoCrCuFe,134
235,CoCrCuFeNi,132
236,Al0.375CoCrFeNi,131
237,CoFeNi,125
238,CoFeNi,125
239,CoCrFeNi,116
240,CoCrFeNi,113
241,Al0.25CoCrFeNi,113
242,Al0.25CoCrFeNi,110
243,Cu8Mn8Ni8Zn6,109
