n_train,rmse,mae,R2
461,0.343876040876564,0.25231527982916063,0.8255962964617904
1005,0.30268554116626245,0.21750521374043966,0.8648751518497589
2200,0.27098865908750475,0.19227538631525554,0.8916936053378376
4812,0.24359245440358848,0.17106488953040475,0.9124855979349762
10499,0.21057057017010875,0.14422117137660354,0.934604598067339
23096,0.18418207724600755,0.12252182496936895,0.9499681455286685
57740,0.15752493291313102,0.09839615393822966,0.9634025796845035
115480,0.13733419913371953,0.08161471181289827,0.9721830656391202
230959,0.12071229790136809,0.06679271929007667,0.9785090852297722
