n_train,rmse,mae,R2
79,1.3283614762340297,1.094074606077851,0.28829846165686956
172,1.1647413118085845,0.9186772195283623,0.452827428056214
377,1.1004705279910976,0.8658139078290138,0.5115476623285142
824,1.0442009613042063,0.8170981330183028,0.560221961765683
1797,0.9676335987922384,0.7363953693476994,0.6223519558103608
3953,0.8974606711232047,0.6733417371851297,0.675140020967798
9882,0.8001865274245913,0.5845691999580285,0.7417455401295339
19764,0.745675512237029,0.5242058636280795,0.7757331295481122
39528,0.6748452012144847,0.46090758141262916,0.8163150018452174
