n_train,rmse,mae,R2
7,1.227525315802937,0.935148010269577,0.25699569159640245
14,1.312477702083381,0.8855707637997433,0.15059603355618512
30,1.212505920101637,0.8045166217372697,0.2750665283380124
65,1.1741060113308952,0.7393816920349657,0.3202565362180557
142,1.0207161889649323,0.6561626463007112,0.48626349975485184
312,0.7987747718422425,0.5174312923314383,0.685385237670512
779,0.641715773859329,0.4193318027992643,0.7969439908083433
1558,0.5271099140343626,0.3374061097309367,0.8629961453788418
3116,0.4386440948596943,0.27552480793548545,0.9051243004080979
